,Unnamed: 0,_id,date,favourites,language,latitude,longitude,retweets,tweet,user
0,0,5c9d5212dd43f237785f90c3,2019-03-28 23:00:28,0,pt,-10.94392346,-37.08474876,0,"Se você é real, sinceramente nem sei... o que posso falar é que existo e sou regada por sentir você em minha vida💕… https://t.co/Ew3hKP576d",_Louise_Oficial
1,1,5c9d5233dd43f237785f90c5,2019-03-28 23:01:01,0,en,34.0522,-118.243,0,"#tbt to 12 year old Blake who was 5 feet tall and pushing 220lbs, and whose favorite food groups were Mt Dew and Mc… https://t.co/Be9KCdeo5p",BlakePickens
2,2,5c9d5240dd43f237785f90c7,2019-03-28 23:01:15,0,en,33.4482,-112.0777,0,"just letting everyone know i'm in AZ , too @ Phoenix, Arizona https://t.co/4o7yrYf8PF",itselisawtf
3,3,5c9d5261dd43f237785f90c9,2019-03-28 23:01:47,0,en,40.81071201,-73.96202297,0,I remember when I could only do ONE singular pull-up! Thank goodness for growth! 😁 Did you get your workout in toda… https://t.co/EBjHf1CMqN,onlybryan_
4,4,5c9d5267dd43f237785f90cb,2019-03-28 23:01:53,0,pt,-23.10056561,-47.20475203,0,"Boa noite 😘😘😘 em Jardim do Sol, Indaiatuba https://t.co/V0PLsIYXNb",Hanadaciro
5,5,5c9d527ddd43f237785f90cd,2019-03-28 23:02:16,0,es,12.5835974,-81.69530514,0,"Yo muy feliz para ir a bucear. en Isla De San Andrés, Colombia, Mar Del Caribe https://t.co/P2DMN5kSch",Jorgeidc
6,6,5c9d5289dd43f237785f90cf,2019-03-28 23:02:27,0,es,39.49165549,-0.35802126,0,"Ohhh!!! Y que me decís de esta preciosa 🐸 me parecen ideales para verano 🌞...
.
.
Queremos que llegue ya 🏖️.
.
.… https://t.co/M0j2dI0cF7",PARDALETS
7,7,5c9d52aedd43f237785f90d1,2019-03-28 23:03:04,0,ja,34.94438005,138.4059913,0,"I'm at セブンイレブン 静岡西島店 in 静岡市, 静岡県 https://t.co/Yuag3gvjA2",ryumaru4826_xxx
8,8,5c9d52b6dd43f237785f90d3,2019-03-28 23:03:12,0,en,25.77052,-80.18929,0,"Defected Records 20 Year Anniversary party. Rain isn’t stopping anyone!! Nice!! 

#miami #brickell #epic #kimpton… https://t.co/xzcjCNkjI0",djtomt1200
9,9,5c9d52c4dd43f237785f90d5,2019-03-28 23:03:26,0,es,4.70869117,-74.08540579,0,"#Principiantes 
#IIIParadaCSO #ClubLosLagartos 
#RoundRobin 
Tomas Scarpetta(BT) VS Carlos Gomez(CUB)… https://t.co/JC4WPXw1Kz",CircSquashOpen
